address,SWC_ID,gt_label,conflict_flag,pred_swc_list,pred_label,is_other,pred_source,session_id,model
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,SWC-101,0,0,SWC-107,0,0,rule_multi,2758c942-6e8f-45dc-8afb-2dc4ddd10271,deepseek
0x000000e45ffaab3552f1eba4b2799b6803322c12,SWC-101,0,0,SWC-101|SWC-107,1,0,rule_multi,a0478d21-d0c4-4af9-9212-4a73a19011fc,deepseek
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,SWC-101,1,0,SWC-107,0,0,rule_multi,e3878efa-211e-45c6-aadc-7e9bd5f9cd22,deepseek
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,SWC-101,0,0,SWC-101|SWC-107,1,0,rule_multi,e5fc7a47-68cf-413b-a74c-0e7bea4ca56b,deepseek
0x0040da8480b899f555ab6904f574e0c54b31386b,SWC-101,1,0,SWC-107,0,0,rule_multi,1e0b5660-e4da-443c-8e78-9a497ae417ea,deepseek
0x004def62c71992615cf22786d0b7efb22850df4a,SWC-101,0,0,,0,1,llm,8f509968-9cd2-418d-87dc-e67a6e6b9298,deepseek
0x005d36beef6cf9844d5cf844dde9507736022ca5,SWC-101,0,0,,0,1,llm,ee390853-6bf7-4e87-9e79-f10fe16c9cf7,deepseek
0x009109ab7b8caff748cda2f272f36043528bef2c,SWC-101,0,0,,0,1,llm,33bc2658-a1b7-4144-bca5-15bf8275fc58,deepseek
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,SWC-101,0,0,SWC-107,0,0,rule_multi,100a615d-19c3-41da-b1fc-69b7d5ba3b55,deepseek
0x011de1ed601467ddbe556357e18683205dee0bda,SWC-101,1,0,SWC-101|SWC-107,1,0,rule_multi,77e86e02-94b1-4b71-8aec-0977649e35bc,deepseek
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,SWC-105,1,0,SWC-107,0,0,rule_multi,2758c942-6e8f-45dc-8afb-2dc4ddd10271,deepseek
0x009109ab7b8caff748cda2f272f36043528bef2c,SWC-105,0,0,,0,1,llm,33bc2658-a1b7-4144-bca5-15bf8275fc58,deepseek
0x009109ab7b8caff748cda2f272f36043528bef2c,SWC-106,0,0,,0,1,llm,33bc2658-a1b7-4144-bca5-15bf8275fc58,deepseek
